intro:翻译：正天罡;
 -vol3/18.ogg -next;
intro:纯白交响曲|DRAMA CD|为天使献上祝福的光芒| ;
还没出来吗？ -vol3/19.ogg;
不过那孩子嘛出来了应该马上就会看到。 -vol3/20.ogg;
兰华，就算飞机着陆了。 -vol3/21.ogg;
也不是马上就能下来的哦。 -vol3/22.ogg;
这我也是知道啦。 -vol3/23.ogg;
但是还是等不及嘛结子没有这种感觉吗。 -vol3/24.ogg;
当然也很等不及啦。 -vol3/25.ogg;
毕竟是时隔几年的再会了。 -vol3/26.ogg;
是呢，三人聚齐都已经过去那么久了。 -vol3/27.ogg;
啊……哈哈哈。 -vol3/28.ogg;
看来来了。 -vol3/29.ogg;
啊啦啊啦可真是很容易发现。 -vol3/30.ogg;
好久不见，兰华、结子。 -vol3/31.ogg;
还是老样子呢。 -vol3/32.ogg;
如你看见的一样。 -vol3/33.ogg;
你可真是还是和以前一样。 -vol3/34.ogg;
因为没有改变的必要。 -vol3/35.ogg;
哈哈。 -vol3/36.ogg;
有什么奇怪的吗？ -vol3/37.ogg;
没有，欢迎回来，埃莉。 -vol3/38.ogg;
欢迎回来，埃莉。 -vol3/39.ogg;
好的，那就再见了，不管何时来找我都不用客气哦。 -vol3/40.ogg;
谢谢。 -vol3/41.ogg;
主人（老爷），我回来了。 -vol3/42.ogg;
嗯，欢迎回来。 -vol3/43.ogg;
又被一年级的孩子问了女仆的诀窍吗？ -vol3/44.ogg;
是的，比如如何用扫帚打扫干净的问题。 -vol3/45.ogg;
然后干脆变成了要不下次和安洁一起去进行扫除吧，之类的话题了。 -vol3/46.ogg;
啊~正好也刚从美化委员会听说了这么个事。 -vol3/47.ogg;
这不正好合适嘛。 -vol3/48.ogg;
是呢，那这件事就由我去说一下吧。 -vol3/49.ogg;
谢谢。 -vol3/50.ogg;
不过话说回来，在那个圣诞蛋糕的事件之后。 -vol3/51.ogg;
这种事就真的变多了呢。 -vol3/52.ogg;
毕竟就像是憧憬的目标一样的感觉嘛。 -vol3/53.ogg;
想和安洁一起做点什么的人当然也会很多。 -vol3/54.ogg;
但是好像在此之上还有…… -vol3/55.ogg;
想试试女仆！ -vol3/56.ogg;
或者干脆想当女仆！的话题比较多吧。 -vol3/57.ogg;
嗯，是呢。 -vol3/58.ogg;
哼~对我来说不怎么理解这种女孩意外的多吗？ -vol3/59.ogg;
那就是说~自从那个圣诞节做了蛋糕后。 -vol3/60.ogg;
“突然被击中了”的感觉吧。 -vol3/61.ogg;
不要太夸奖嘛，我的笑容快停不下来了。 -vol3/62.ogg;
真让人害羞啊各位。 -vol3/63.ogg;
看到这种地方，真的无法想象究竟是憧憬哪里啊。 -vol3/64.ogg;
我觉得很可爱又让人萌生亲近的感觉。 -vol3/65.ogg;
新吾，你那是情人眼里出西施。 -vol3/66.ogg;
真就变成越来越悠闲的主从了，但是嘛也算了。 -vol3/67.ogg;
是！安洁也准备好了！ -vol3/68.ogg;
啊但是那个啊，有那么想成为女仆的女孩在。 -vol3/69.ogg;
安洁很想教的话。 -vol3/70.ogg;
嗯，那干脆开个那种同好会不就更好了。 -vol3/71.ogg;
什么？怎么了？ -vol3/72.ogg;
同好会…… -vol3/73.ogg;
这还算个不错的主意啊。 -vol3/74.ogg;
啊？ -vol3/75.ogg;
女仆同好会啊…… -vol3/76.ogg;
